ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
9.927023723224528,208.4907383229773,19666.99279150528,8.008618310012316,340.2378242732727,482.84243520889055,11.360427034258294,85.8291127991443,4.051733473083127,0
8.769676021676739,215.3687416311452,13969.438862550478,7.548543437259352,322.79907015152514,369.0166667859881,18.91918835431352,54.75521405592216,3.7767184616875142,0
8.077260885586492,125.30271940363592,23931.28283313192,8.773161930761969,317.6933311873576,398.32878874006775,15.279582679247651,62.668356182201386,4.279871302319948,1
9.73956194896991,166.94886404872258,13623.160062865045,7.23592175948416,385.05913433199646,369.59128906677967,12.32260382095626,68.50585164506361,2.568079876725237,1
5.343075102966485,211.6620911431769,45166.91214141498,6.651801292027482,279.76749968588933,485.95971744569687,19.682336972782764,70.54686225078603,4.240031707717554,0
6.908272154356689,211.10555110633769,19224.98628010973,6.379970101156275,307.1022061806672,323.88545374509846,21.20847660360488,71.92098788711762,5.405567222899759,1
6.588007289609895,244.94321992785973,23898.97447677574,6.78093611514574,273.7366439273952,330.91481993767815,9.25062752373134,47.38873979694057,4.216454466143605,0
6.023022741325022,170.73228872711053,10925.36010387038,8.200972594216253,305.79652935047324,508.851053087782,12.244622261795996,62.967793227652585,3.668088579274877,0
9.913703796778616,160.09824748433667,32129.99630738752,6.10951591378841,405.2955591337692,541.2207701977802,11.54632376450212,46.08191023994968,5.554666740402974,0
5.772197393568782,200.1449707639836,27840.69421009444,7.132239772698276,318.6434911867856,414.0150431728218,15.55010137507412,62.52127368938679,3.0789858386712936,0
5.716755666530133,197.1042098290997,12641.527808865552,8.702061413699436,287.0125644517296,345.08393643177794,17.27396599830405,58.41151474383049,4.0806749961624265,0
7.338826110612727,229.9786941456632,12603.400371363736,5.975488073209139,351.31882632743674,370.86063167906366,19.38933723250585,79.97164724934899,4.01706111949955,1
